skin_isim;bynogame_fiyat_tl;son_hafta_satılan;son_2_hafta_satılan;son_1_ay_satılan;son_2_ay_satılan;son_3_ay_satılan;son_hafta_ortalama_fiyat;son_2_hafta_ortalama_fiyat;son_1_ay_ortalama_fiyat;son_2_ay_ortalama_fiyat;son_3_ay_ortalama_fiyat
Zeus x27 | Dragon Snore (Well-Worn);900;-;-;-;-;-;;;-;;
AWP | Crakow! (Battle-Scarred);2.000;1;2;2;2;2;1120 ₺;1120 ₺;1120 ₺;1120 ₺;1120 ₺
Glock-18 | Gold Toof (Field-Tested);750;2;2;2;2;2;550 ₺;550 ₺;550 ₺;550 ₺;550 ₺
AK-47 | Crossfade (Battle-Scarred);90;-;-;-;-;-;;;-;;
Charm | Baby Karat T;1.349;1;1;1;1;1;850 ₺;850 ₺;850 ₺;850 ₺;850 ₺
Charm | Baby Karat CT;1.299;3;3;3;3;3;400 ₺;400 ₺;400 ₺;400 ₺;400 ₺
StatTrak™ Glock-18 | Gold Toof (Field-Tested);1.850;-;1;2;2;2;;1311 ₺;1106 ₺;1106 ₺;1106 ₺
AWP | Crakow! (Well-Worn);2.750;1;1;3;3;3;1450 ₺;1450 ₺;1217 ₺;1217 ₺;1217 ₺
Charm | Die-cast AK;229;1;1;1;1;1;250 ₺;250 ₺;250 ₺;250 ₺;250 ₺
Charm | Semi-Precious;2.778;-;-;-;-;-;;;-;;
Charm | Titeenium AWP;300;-;-;2;2;2;;;490 ₺;490 ₺;490 ₺
AWP | CMYK (Minimal Wear);14.500;-;-;2;2;2;;;9800 ₺;9800 ₺;9800 ₺
Charm | Hot Hands;100;1;5;5;5;5;50 ₺;49 ₺;49 ₺;49 ₺;49 ₺
AK-47 | Crossfade (Field-Tested);150;1;3;7;7;7;100 ₺;92 ₺;99 ₺;99 ₺;99 ₺
AWP | Crakow! (Factory New);14.250;-;-;-;-;-;;;-;;
SSG 08 | Rapid Transit (Field-Tested);66;-;1;1;1;1;;42 ₺;42 ₺;42 ₺;42 ₺
Charm | Lil' Squatch;55;-;-;5;5;5;;;56 ₺;56 ₺;56 ₺
AK-47 | The Outsiders (Field-Tested);590;2;5;12;12;12;675 ₺;600 ₺;558 ₺;558 ₺;558 ₺
Charm | Backsplash;30;-;1;6;6;6;;80 ₺;41 ₺;41 ₺;41 ₺
P250 | Epicenter (Minimal Wear);445;-;-;-;-;-;;;-;;
UMP-45 | Neo-Noir (Field-Tested);195;2;3;4;4;4;200 ₺;187 ₺;165 ₺;165 ₺;165 ₺
Charm | Lil' Monster;270;1;1;1;1;1;190 ₺;190 ₺;190 ₺;190 ₺;190 ₺
Charm | Big Kev;30;6;13;18;19;19;30 ₺;30 ₺;34 ₺;35 ₺;35 ₺
XM1014 | Monster Melt (Field-Tested);248;-;-;3;3;3;;;105 ₺;105 ₺;105 ₺
Charm | Chicken Lil';90;2;3;4;4;4;85 ₺;88 ₺;85 ₺;85 ₺;85 ₺
Charm | Lil' Crass;30;4;10;17;20;20;30 ₺;30 ₺;35 ₺;37 ₺;37 ₺
Charm | Baby's AK;30;11;19;31;31;31;30 ₺;31 ₺;34 ₺;34 ₺;34 ₺
Glock-18 | Gold Toof (Minimal Wear);1.300;1;1;1;1;1;1050 ₺;1050 ₺;1050 ₺;1050 ₺;1050 ₺
Charm | Hot Sauce;40;1;12;23;23;23;37 ₺;34 ₺;35 ₺;35 ₺;35 ₺
Zeus x27 | Dragon Snore (Minimal Wear);2.500;-;-;-;-;-;;;-;;
Charm | Pinch O' Salt;40;2;3;10;10;10;35 ₺;33 ₺;44 ₺;44 ₺;44 ₺
Charm | Lil' SAS;45;1;13;17;17;17;48 ₺;37 ₺;39 ₺;39 ₺;39 ₺
AK-47 | Crossfade (Minimal Wear);150;1;2;5;5;5;200 ₺;198 ₺;183 ₺;183 ₺;183 ₺
Charm | Lil' Ava;30;4;7;15;17;17;30 ₺;30 ₺;39 ₺;40 ₺;40 ₺
AUG | Eye of Zapems (Field-Tested);260;1;2;8;8;8;220 ₺;223 ₺;218 ₺;218 ₺;218 ₺
MP5-SD | Neon Squeezer (Well-Worn);30;-;-;-;-;-;;;-;;
AK-47 | The Outsiders (Minimal Wear);1.250;4;7;9;9;9;1163 ₺;1193 ₺;1150 ₺;1150 ₺;1150 ₺
FAMAS | Half Sleeve (Minimal Wear);30;-;1;2;2;2;;30 ₺;30 ₺;30 ₺;30 ₺
Zeus x27 | Dragon Snore (Field-Tested);1.340;2;2;2;2;2;945 ₺;945 ₺;945 ₺;945 ₺;945 ₺
M4A1-S | Wash me plz (Factory New);34;7;9;14;14;14;32 ₺;33 ₺;39 ₺;39 ₺;39 ₺
Five-SeveN | Heat Treated (Minimal Wear);500;-;1;1;1;1;;160 ₺;160 ₺;160 ₺;160 ₺
Dual Berettas | Sweet Little Angels (Minimal Wear);400;-;-;-;-;-;;;-;;
Desert Eagle | Heat Treated (Factory New);9.000;-;-;-;-;-;;;-;;
MAC-10 | Pipsqueak (Field-Tested);43;4;6;8;8;8;45 ₺;42 ₺;45 ₺;45 ₺;45 ₺
P90 | Wash me (Field-Tested);30;-;1;1;1;1;;30 ₺;30 ₺;30 ₺;30 ₺
Charm | Lil' Teacup;130;1;1;3;3;3;130 ₺;130 ₺;106 ₺;106 ₺;106 ₺
AK-47 | B the Monster (Factory New);33.340;-;-;2;2;2;;;29500 ₺;29500 ₺;29500 ₺
Charm | Lil' Sandy;74;1;2;2;2;2;70 ₺;65 ₺;65 ₺;65 ₺;65 ₺
SSG 08 | Rapid Transit (Factory New);200;-;-;-;1;1;;;-;278 ₺;278 ₺
AWP | Crakow! (Minimal Wear);4.800;1;1;2;2;2;4500 ₺;4500 ₺;3558 ₺;3558 ₺;3558 ₺
Desert Eagle | Tilted (Field-Tested);33;16;30;56;61;61;31 ₺;35 ₺;42 ₺;44 ₺;44 ₺
Charm | Pocket AWP;30;4;11;17;17;17;30 ₺;30 ₺;33 ₺;33 ₺;33 ₺
Negev | Wall Bang (Field-Tested);30;-;-;-;-;-;;;-;;
Glock-18 | Teal Graf (Factory New);70;1;1;1;1;1;50 ₺;50 ₺;50 ₺;50 ₺;50 ₺
FAMAS | Half Sleeve (Battle-Scarred);30;-;-;-;-;-;;;-;;
Galil AR | Metallic Squeezer (Minimal Wear);50;-;-;4;4;4;;;30 ₺;30 ₺;30 ₺
FAMAS | Half Sleeve (Field-Tested);30;-;-;-;-;-;;;-;;
Charm | Disco MAC;100;-;2;3;3;3;;93 ₺;82 ₺;82 ₺;82 ₺
Five-SeveN | Heat Treated (Battle-Scarred);1.300;-;-;1;1;1;;;128 ₺;128 ₺;128 ₺
Five-SeveN | Midnight Paintover (Field-Tested);30;-;-;-;-;-;;;-;;
M4A1-S | Vaporwave (Factory New);7.000;4;4;5;5;5;6563 ₺;6563 ₺;6150 ₺;6150 ₺;6150 ₺
AK-47 | The Outsiders (Well-Worn);1.000;2;3;5;5;5;405 ₺;420 ₺;398 ₺;398 ₺;398 ₺
AK-47 | Crossfade (Factory New);280;-;1;3;3;3;;280 ₺;187 ₺;187 ₺;187 ₺
Galil AR | Rainbow Spoon (Minimal Wear);1.850;-;2;2;2;2;;1400 ₺;1400 ₺;1400 ₺;1400 ₺
FAMAS | Half Sleeve (Well-Worn);30;-;-;-;-;-;;;-;;
Charm | Stitch-Loaded;30;2;5;15;15;15;30 ₺;30 ₺;30 ₺;30 ₺;30 ₺
AK-47 | Olive Polycam (Battle-Scarred);30;-;1;2;2;2;;30 ₺;30 ₺;30 ₺;30 ₺
AK-47 | B the Monster (Minimal Wear);23.500;2;4;8;8;8;11350 ₺;11800 ₺;14588 ₺;14588 ₺;14588 ₺
MP5-SD | Neon Squeezer (Battle-Scarred);30;-;-;1;1;1;;;30 ₺;30 ₺;30 ₺
MP5-SD | Neon Squeezer (Field-Tested);30;2;3;4;4;4;30 ₺;30 ₺;30 ₺;30 ₺;30 ₺
MAC-10 | Pipsqueak (Minimal Wear);105;2;3;11;12;12;90 ₺;80 ₺;86 ₺;87 ₺;87 ₺
Desert Eagle | Heat Treated (Well-Worn);70;-;1;7;8;8;;98 ₺;87 ₺;96 ₺;96 ₺
AK-47 | Olive Polycam (Factory New);190;3;8;14;14;14;38 ₺;41 ₺;40 ₺;40 ₺;40 ₺
Glock-18 | AXIA (Field-Tested);1.450;4;5;6;6;6;1168 ₺;1224 ₺;1242 ₺;1242 ₺;1242 ₺
Desert Eagle | Heat Treated (Battle-Scarred);90;2;3;6;6;6;60 ₺;65 ₺;293 ₺;293 ₺;293 ₺
USP-S | Alpine Camo (Field-Tested);47;14;22;33;33;33;42 ₺;47 ₺;49 ₺;49 ₺;49 ₺
Charm | POP Art;80;2;6;10;10;10;75 ₺;79 ₺;76 ₺;76 ₺;76 ₺
Charm | Glamour Shot;75;1;2;4;4;4;75 ₺;75 ₺;75 ₺;75 ₺;75 ₺
Charm | Whittle Knife;40;7;11;23;23;23;30 ₺;32 ₺;32 ₺;32 ₺;32 ₺
